assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9777695933977762,0.9773551225662231,0.9804069757461548,0.0,0.1668117344379425,0.10748609155416489,0.0038936978671699762,0,3,3,0,0.0071373860617833474,21,3,000000022935.jpg,3,3,0.9777694543202718,0.9773547053337097,0.980406892299652,0,0,24,0,0,0.9194561640421549,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8914075493812561,0.8914075493812561,0.8914075493812561,0.0,0.726198673248291,0.22949844598770142,0.007092940621078014,0,1,1,0,0.0038880522524078307,13,1,000000023666.jpg,1,1,0.8914079070091248,0.8914079070091248,0.8914079070091248,0,0,14,0,0,0.8527134656906128,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6861045074959596,0.7916857004165649,0.9489204227924347,0.0,1.6116667985916138,1.276739478111267,0.005512341391295195,0,18,18,5,0.0197199533274884,287,18,000000024243.jpg,3,3,0.807734911258404,0.8343309760093689,0.9526175737380982,2,2,300,13,8,0.3885367995557877,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7840761840343475,0.7840761840343475,0.8214570462703705,0.0,1.639864444732666,1.736759066581726,0.05542709678411484,0,2,2,0,0.00351845821326909,24,2,000000025139.jpg,2,2,0.7840761840343475,0.7840761840343475,0.8214570462703705,0,0,26,0,0,0.4711076891981065,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9159300525983175,0.888664960861206,0.9605717658996582,0.0,0.6181545257568359,0.5980158448219299,0.004735018592327833,0,3,3,0,0.03095677302388305,11,3,000000025424.jpg,2,2,0.8633915583292643,0.8886640071868896,0.960571575164795,0,0,14,1,1,0.7828347285588583,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8112525802392226,0.8496806621551514,0.9496575593948364,0.0,1.2502737045288086,1.3328957557678223,0.004840778186917305,0,13,13,2,0.025238220529972374,289,13,000000026204.jpg,1,1,0.8157482418147001,0.8577319979667664,0.9507572054862976,6,6,300,6,4,0.6104054493321613,11
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9469909965991974,0.9469909965991974,0.9633934557437897,0.0,0.3948614299297333,0.27939900755882263,0.0046779438853263855,0,2,2,0,0.0070483806514951945,58,2,000000027982.jpg,1,1,0.9469912648200989,0.9469912648200989,0.9633937954902649,1,1,60,0,0,0.9133174419403076,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7966775298118591,0.7966775298118591,0.8857543349266053,0.0,1.4127951860427856,0.5573456287384033,0.008990366943180561,0,2,2,0,0.027237594449183063,21,2,000000030494.jpg,1,1,0.7966775298118591,0.7966775298118591,0.8857543349266053,0,0,23,1,1,0.6695160865783691,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9614443778991699,0.9614443778991699,0.9614443778991699,0.0,0.27817368507385254,0.1309264600276947,0.005353855900466442,0,1,1,0,0.003206333649965624,12,1,000000030675.jpg,1,1,0.9614443182945251,0.9614443182945251,0.9614443182945251,0,0,13,0,0,0.9390770196914673,1
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8791193962097168,0.8838434815406799,0.9604431867599488,0.0,0.8687530159950256,2.6127750873565674,0.008003132417798042,0,5,5,1,0.010951189977522762,296,5,000000031735.jpg,2,2,0.8114045113325119,0.8133982419967651,0.9417706489562988,3,2,300,0,0,0.46504458447452635,4
