assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8924588263034821,0.8913109302520752,0.9815136194229126,0.0,0.7672010660171509,0.7263833284378052,0.004961112514138222,0,000000119995.jpg,6,6
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9370284080505371,0.9370284080505371,0.9370284080505371,0.0,0.44459378719329834,0.5271428227424622,0.0026441565714776516,0,000000120584.jpg,1,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.7641416589419047,0.7401794195175171,0.8707606494426727,0.0,1.7094422578811646,2.3460500240325928,0.022025328129529953,0,000000121497.jpg,6,6
one2one,16,111,4,overlap,16,16,16,107,16,16,0.7753394152969122,0.8167561590671539,0.9684040248394012,0.0,1.4374903440475464,1.150816798210144,0.004750302992761135,0,000000124798.jpg,16,16
one2one,15,98,11,overlap,15,15,15,87,15,15,0.7519064565499624,0.7911820411682129,0.9215014815330506,0.0,1.565197229385376,2.333432912826538,0.0052198017947375774,0,000000125778.jpg,15,15
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7426954805850983,0.7426954805850983,0.7719074070453644,0.0,1.940406084060669,2.0784554481506348,0.010814333334565163,0,000000130465.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9572635889053345,0.9572635889053345,0.9825073480606079,0.0,0.3130761682987213,0.15288400650024414,0.005311214365065098,0,000000130586.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8912930190563202,0.8912930190563202,0.9470007359981537,0.0,0.7762550115585327,0.27697837352752686,0.015292193740606308,0,000000131444.jpg,2,2
one2one,7,46,2,overlap,7,7,7,44,7,7,0.775883001940591,0.76167231798172,0.8914414763450622,0.0,1.5991427898406982,1.7414484024047852,0.008314134553074837,0,000000132375.jpg,7,7
one2one,10,62,0,overlap,10,10,10,62,10,10,0.8557829439640046,0.8925105035305023,0.9649438619613647,0.0,0.9420964121818542,1.7425785064697266,0.0040865810588002205,0,000000132587.jpg,10,10
