seed,cell,sample,model_forward_ms,adapter_total_ms,base_ms,factor_ms,adapter_residual_combine_ms,moe_total_ms,router_ms,shared_expert_ms,selected_expert_compute_ms,expert_dispatch_aggregate_ms,non_adapter_model_ms
260829,a,78,5.685247898101807,4.485727876424789,0.33075200766324997,4.116287916898727,0.03868795186281204,0,0,0,0,0.0,1.1995200216770172
260829,a,79,5.664959907531738,4.475072056055069,0.32969599962234497,4.1112319976091385,0.03414405882358551,0,0,0,0,0.0,1.1898878514766693
260829,a,80,5.700607776641846,4.489472001791,0.33299199491739273,4.120576083660126,0.0359039232134819,0,0,0,0,0.0,1.2111357748508453
260829,a,81,5.682176113128662,4.483071953058243,0.3299200013279915,4.116480052471161,0.036671899259090424,0,0,0,0,0.0,1.1991041600704193
260829,a,82,5.667840003967285,4.479999929666519,0.3328000083565712,4.111103951931,0.03609596937894821,0,0,0,0,0.0,1.187840074300766
260829,a,83,5.695487976074219,4.502528041601181,0.3331199958920479,4.132959946990013,0.036448098719120026,0,0,0,0,0.0,1.1929599344730377
260829,a,84,5.69536018371582,4.498431950807571,0.3421120047569275,4.119359940290451,0.03696000576019287,0,0,0,0,0.0,1.196928232908249
260829,a,85,5.680384159088135,4.485119968652725,0.33155200630426407,4.115456059575081,0.03811190277338028,0,0,0,0,0.0,1.1952641904354095
260829,a,86,5.7203521728515625,4.509535908699036,0.35737600177526474,4.112287953495979,0.039871953427791595,0,0,0,0,0.0,1.2108162641525269
260829,a,87,5.673984050750732,4.483071953058243,0.330207996070385,4.112384036183357,0.04047992080450058,0,0,0,0,0.0,1.1909120976924896
260829,a,88,5.693120002746582,4.5067839324474335,0.3522239997982979,4.119487941265106,0.03507199138402939,0,0,0,0,0.0,1.1863360702991486
260829,a,89,5.693439960479736,4.482176035642624,0.3328000083565712,4.111999943852425,0.03737608343362808,0,0,0,0,0.0,1.2112639248371124
260829,a,90,5.687071800231934,4.486143976449966,0.3306880071759224,4.117535948753357,0.0379200205206871,0,0,0,0,0.0,1.2009278237819672
260829,a,91,5.685919761657715,4.4966079890728,0.3339200019836426,4.126432031393051,0.03625595569610596,0,0,0,0,0.0,1.1893117725849152
260829,a,92,5.68012809753418,4.479935944080353,0.3303680047392845,4.113440051674843,0.03612788766622543,0,0,0,0,0.0,1.200192153453827
260829,a,93,5.707776069641113,4.511743932962418,0.3280000016093254,4.144480124115944,0.039263807237148285,0,0,0,0,0.0,1.1960321366786957
260829,a,94,5.703392028808594,4.48019203543663,0.3328000009059906,4.111360043287277,0.03603199124336243,0,0,0,0,0.0,1.2231999933719635
260829,a,95,5.6842241287231445,4.48921599984169,0.32972800731658936,4.120576098561287,0.03891189396381378,0,0,0,0,0.0,1.1950081288814545
260829,a,96,5.674816131591797,4.487167984247208,0.3317760080099106,4.11875207722187,0.036639899015426636,0,0,0,0,0.0,1.1876481473445892
260829,a,97,5.6985602378845215,4.505119949579239,0.33075200766324997,4.133887976408005,0.04047996550798416,0,0,0,0,0.0,1.1934402883052826
260829,a,98,5.6893439292907715,4.501824080944061,0.32896000146865845,4.134911954402924,0.03795212507247925,0,0,0,0,0.0,1.1875198483467102
260829,a,99,5.673984050750732,4.482047885656357,0.33023999631404877,4.112384036183357,0.039423853158950806,0,0,0,0,0.0,1.1919361650943756
260829,a,100,5.707776069641113,4.516576021909714,0.3337920010089874,4.119552105665207,0.06323191523551941,0,0,0,0,0.0,1.1912000477313995
260829,a,101,5.679103851318359,4.4902399480342865,0.3346560001373291,4.118528053164482,0.03705589473247528,0,0,0,0,0.0,1.1888639032840729
260829,a,102,5.681151866912842,4.484223961830139,0.3320640027523041,4.113728046417236,0.038431912660598755,0,0,0,0,0.0,1.1969279050827026
260829,a,103,5.717376232147217,4.528927952051163,0.3739200010895729,4.11715193092823,0.03785602003335953,0,0,0,0,0.0,1.188448280096054
260829,a,104,5.665599822998047,4.4755198657512665,0.32873600721359253,4.1100160628557205,0.03676779568195343,0,0,0,0,0.0,1.1900799572467804
260829,a,105,5.682015895843506,4.48102393746376,0.32972800731658936,4.1154560297727585,0.03583990037441254,0,0,0,0,0.0,1.2009919583797455
260829,a,106,5.760000228881836,4.5066238939762115,0.3317760080099106,4.137023985385895,0.03782390058040619,0,0,0,0,0.0,1.2533763349056244
260829,a,107,5.684160232543945,4.487264007329941,0.33504000306129456,4.115456059575081,0.03676794469356537,0,0,0,0,0.0,1.1968962252140045
