assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8799599170684814,0.8829010725021362,0.9592852592468262,0.0,0.8644557595252991,2.571204900741577,0.007849819026887417,0,5,5,1,0.011038511226148772,296,5,000000031735.jpg,2,2,0.8129458278417587,0.8138740956783295,0.9421511888504028,3,2,300,0,0,0.4628185988403857,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8677370846271515,0.8677370846271515,0.9364655554294586,0.0,0.9356860518455505,0.5489426851272583,0.004192020278424025,0,2,2,0,0.0042439880466239675,185,2,000000033005.jpg,0,0,0.8677370846271515,0.8677370846271515,0.9364653170108795,2,2,187,0,0,0.855261892080307,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9031650722026825,0.9031650722026825,0.9049264371395112,0.0,0.7298940420150757,1.5284044742584229,0.012855559587478638,0,2,2,0,0.008239305528124498,107,2,000000034071.jpg,2,2,0.9031650722026825,0.9031650722026825,0.9049264371395112,0,0,109,0,0,0.09426505118608475,2
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7218944877386093,0.7426850497722626,0.9250491261482239,0.0,1.693567156791687,0.6380574107170105,0.017152318730950356,0,4,4,0,0.007920671456977432,127,4,000000034139.jpg,3,3,0.7354951947927475,0.7426850497722626,0.9250493347644806,1,1,131,0,0,0.6691501867026091,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8074029584725698,0.8542734980583191,0.9417109191417694,0.0,1.2611128091812134,2.8875932693481445,0.010954143479466438,0,6,6,1,0.031217038837435134,295,6,000000034257.jpg,2,2,0.8004675507545471,0.8065786957740784,0.9307909607887268,2,2,300,2,1,0.08928574174642563,5
one2one,22,142,5,overlap,22,22,22,137,22,22,0.6913607052781365,0.7239331603050232,0.9135085463523865,0.0,1.9925793409347534,2.0479705333709717,0.011227007955312729,0,22,22,5,0.016524331496087275,283,22,000000036936.jpg,4,4,0.7117254558731528,0.7114022970199585,0.8998657941818238,1,1,300,17,12,0.3205389834337813,17
one2one,15,103,11,overlap,14,14,14,81,14,14,0.7289154018674578,0.7253044843673706,0.8808606505393983,0.0,1.9395607709884644,2.132845401763916,0.00956092681735754,0,14,14,0,0.010257871306844447,285,15,000000039477.jpg,2,2,0.6683090686798095,0.632838249206543,0.8709430575370788,4,4,300,9,9,0.18876398655896384,15
one2one,6,42,3,overlap,6,6,6,39,6,6,0.9418162306149801,0.9568562805652618,0.967837393283844,0.0,0.42575037479400635,1.0170519351959229,0.008538119494915009,0,6,6,0,0.010490809019435854,68,6,000000039769.jpg,4,4,0.9447746674219767,0.9582296013832092,0.967837393283844,2,2,74,0,0,0.5232884405801693,6
one2one,11,51,0,overlap,11,11,11,51,11,11,0.7947811592708934,0.7995246648788452,0.9528032541275024,0.0,1.4505698680877686,0.8258476257324219,0.0038913425523787737,0,11,11,0,0.018385703932788027,152,11,000000039914.jpg,2,2,0.7567620494148948,0.796663224697113,0.9528032541275024,1,1,163,8,8,0.5391658680005507,11
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8111365834871928,0.9148178696632385,0.9507282376289368,0.0,1.1395273208618164,1.8152889013290405,0.009656010195612907,0,3,3,1,0.016653353927805172,44,3,000000040036.jpg,2,2,0.9372617304325104,0.9372617304325104,0.9552168190479279,1,0,46,0,0,0.8573176264762878,2
